# Kinmatech Trajectory
# Format: J1, J2, J3, J4, J5, J6, Phase, X(mm), Y(mm), Z(mm), RX(deg), RY(deg), RZ(deg), WeldOn, Current(%), Voltage(%), WeavePattern, WeaveLat(mm), WeaveVert(mm), Comment
# Total points: 200  Weld ON: 200  Weave: 167  Patterns: Circle
# Phases: ACCEL: 35  CRUISE: 146  DECEL: 17  STOP: 2

-153.931, -19.302, 127.117, -109.752, 89.226, -119.199, CRUISE, 437.71, 20.25, 851.53, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +3.00, +0.03, Curve u=0.618 +Circle
-154.279, -19.572, 126.904, -109.945, 88.933, -119.154, CRUISE, 435.61, 16.80, 850.97, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.38, -0.80, Curve u=0.625 +Circle
-154.448, -20.007, 126.646, -110.036, 88.740, -119.273, CRUISE, 432.02, 13.92, 851.28, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.69, -0.74, Curve u=0.632 +Circle
-154.729, -20.352, 126.499, -110.187, 88.452, -119.377, CRUISE, 430.15, 11.09, 852.33, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -3.00, +0.05, Curve u=0.640 +Circle
-155.247, -20.482, 126.483, -110.471, 88.005, -119.334, CRUISE, 430.92, 7.89, 853.31, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.54, +0.77, Curve u=0.647 +Circle
-155.879, -20.484, 126.504, -110.822, 87.501, -119.169, CRUISE, 432.76, 4.42, 853.62, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.11, +0.84, Curve u=0.654 +Circle
-156.415, -20.516, 126.465, -111.122, 87.084, -119.001, CRUISE, 433.58, 1.18, 853.33, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.84, +0.29, Curve u=0.662 +Circle
-156.722, -20.669, 126.338, -111.293, 86.834, -118.932, CRUISE, 432.50, -1.36, 852.87, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.67, -0.41, Curve u=0.669 +Circle
-156.822, -20.932, 126.160, -111.344, 86.726, -118.981, CRUISE, 430.01, -3.04, 852.67, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +1.04, -0.84, Curve u=0.676 +Circle
-156.801, -21.229, 125.990, -111.326, 86.696, -119.106, CRUISE, 427.22, -4.08, 852.90, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.98, -0.85, Curve u=0.684 +Circle
-156.774, -21.492, 125.866, -111.303, 86.667, -119.243, CRUISE, 425.01, -4.84, 853.45, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.46, -0.51, Curve u=0.691 +Circle
-156.814, -21.690, 125.791, -111.319, 86.590, -119.346, CRUISE, 423.70, -5.69, 854.15, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -3.00, -0.03, Curve u=0.699 +Circle
-156.943, -21.827, 125.751, -111.385, 86.454, -119.397, CRUISE, 423.11, -6.82, 854.81, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -2.64, +0.43, Curve u=0.706 +Circle
-157.151, -21.950, 125.712, -111.496, 86.259, -119.411, CRUISE, 422.80, -8.28, 855.33, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -1.68, +0.75, Curve u=0.713 +Circle
-157.381, -22.081, 125.656, -111.619, 86.051, -119.409, CRUISE, 422.30, -9.97, 855.66, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, -0.42, +0.89, Curve u=0.721 +Circle
-157.574, -22.245, 125.568, -111.721, 85.872, -119.419, CRUISE, 421.26, -11.62, 855.82, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +0.88, +0.86, Curve u=0.728 +Circle
-157.665, -22.439, 125.450, -111.766, 85.772, -119.462, CRUISE, 419.60, -12.87, 855.79, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.02, +0.67, Curve u=0.735 +Circle
-157.609, -22.634, 125.322, -111.730, 85.791, -119.541, CRUISE, 417.52, -13.34, 855.62, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.80, +0.33, Curve u=0.743 +Circle
-157.390, -22.783, 125.213, -111.607, 85.948, -119.648, CRUISE, 415.44, -12.79, 855.33, 72.49, -24.38, 45.38, 1, 50.0, 30.0, Circle, +2.97, -0.12, Curve u=0.750 +Circle
